"","Num","Year","Cruise_ID","Leg","Cast","lon","lat","Mon","Day","Date","Time","sample","depth","fluor_vol_filt","chl_a_tot","chl_b_tot","chl_c3","chl_c1_c2","chl_c1","chl_c2","chlc_tot","chlide_a","chl_a1","chl_a2","carotene_a","carotene_b","fucox_but","fucox_hex","allox","diadinox","fucox","diatox","peridinin","zeax","lutein","neox","antherax","violax","p_phytin_a","prasinox","gyrox","chl_a_allo","chl_a_prime","chl_a_fluor","chl_a_pheo_fluor"
"48",48,"1999","93HG_045","1","4","-64.67","10.5","8","11","19990811","0535","1","2","2000","0.1287","-9999","0.0127","0.0127","","","0.0254","-9999","","","-9999","0.0053","0.0025","0.0159","-9999","-9999","0.0086","-9999","-9999","0.0581","-9999","-9999","","-9999","",-9999,9.96920996838687e+36,9.96920996838687e+36,9.96920996838687e+36,9.96920996838687e+36,9.96920996838687e+36
"49",49,"1999","93HG_045","1","4","-64.67","10.5","8","11","19990811","0535","3","7","2000","0.0373","-9999","0.0092","0.0107","","","0.0199","-9999","","","-9999","-9999","-9999","0.0113","-9999","-9999","0.0054","-9999","-9999","0.0163","-9999","-9999","","-9999","",-9999,9.96920996838687e+36,9.96920996838687e+36,9.96920996838687e+36,9.96920996838687e+36,9.96920996838687e+36
"50",50,"1999","93HG_045","1","4","-64.67","10.5","8","11","19990811","0535","5","16","2000","0.0413","-9999","0.024","0.0282","","","0.0522","-9999","","","-9999","-9999","0.0061","0.0306","-9999","-9999","0.0108","-9999","-9999","0.0409","-9999","-9999","","-9999","",-9999,9.96920996838687e+36,9.96920996838687e+36,9.96920996838687e+36,9.96920996838687e+36,9.96920996838687e+36
"51",51,"1999","93HG_045","1","4","-64.67","10.5","8","11","19990811","0535","7","25","2000","0.0928","-9999","0.0269","0.0324","","","0.0592","-9999","","","-9999","-9999","0.008","0.0313","-9999","-9999","0.0179","-9999","-9999","0.0168","-9999","-9999","","-9999","",-9999,9.96920996838687e+36,9.96920996838687e+36,9.96920996838687e+36,9.96920996838687e+36,9.96920996838687e+36
"52",52,"1999","93HG_045","1","4","-64.67","10.5","8","11","19990811","0535","9","35","2000","0.3844","0.0399","0.3304","0.1817","","","0.5121","-9999","","","-9999","0.0035","0.0552","0.2365","0.0116","0.0231","0.2265","-9999","-9999","0.018","-9999","0.0069","","-9999","",-9999,9.96920996838687e+36,9.96920996838687e+36,9.96920996838687e+36,9.96920996838687e+36,9.96920996838687e+36
"53",53,"1999","93HG_045","1","4","-64.67","10.5","8","11","19990811","0535","10","55","1560","0.9827","-9999","1.0887","0.4132","","","1.502","-9999","","","-9999","0.0103","0.1733","0.2287","-9999","0.058","0.9861","-9999","-9999","0.0074","-9999","-9999","","-9999","",-9999,9.96920996838687e+36,9.96920996838687e+36,9.96920996838687e+36,9.96920996838687e+36,9.96920996838687e+36
"54",54,"1999","93HG_045","1","4","-64.67","10.5","8","11","19990811","0535","11","75","2000","0.0654","-9999","0.0356","0.0187","","","0.0542","-9999","","","-9999","-9999","0.0082","0.0244","-9999","0.0032","0.0357","-9999","-9999","-9999","-9999","-9999","","-9999","",-9999,9.96920996838687e+36,9.96920996838687e+36,9.96920996838687e+36,9.96920996838687e+36,9.96920996838687e+36
"55",55,"1999","93HG_045","1","4","-64.67","10.5","8","11","19990811","0535","12","100","2000","0.0217","-9999","0.0144","0.0085","","","0.0229","-9999","","","-9999","-9999","0.0058","0.0129","-9999","-9999","0.0106","-9999","-9999","-9999","-9999","-9999","","-9999","",-9999,9.96920996838687e+36,9.96920996838687e+36,9.96920996838687e+36,9.96920996838687e+36,9.96920996838687e+36
"56",56,"1999","93HG_046","1","4","-64.67","10.5","9","14","19990914","0616","1","2","900","0.0785","-9999","-9999","-9999","","","-9999","-9999","","","-9999","-9999","-9999","0.0092","-9999","-9999","-9999","-9999","-9999","0.0463","-9999","-9999","","-9999","",-9999,9.96920996838687e+36,9.96920996838687e+36,9.96920996838687e+36,9.96920996838687e+36,9.96920996838687e+36
"57",57,"1999","93HG_046","1","4","-64.67","10.5","9","14","19990914","0616","3","7","2000","0.0598","-9999","-9999","0.0115","","","0.0115","0","","","-9999","-9999","0.0025","0.0123","-9999","-9999","0.0031","-9999","-9999","0.0329","-9999","-9999","","-9999","",-9999,9.96920996838687e+36,9.96920996838687e+36,9.96920996838687e+36,9.96920996838687e+36,9.96920996838687e+36
