"","Date","val","spec"
"615",2013-03-05,16.6,"Hapto6"
"616",2013-04-09,18.58,"Hapto6"
"617",2013-05-09,20.99,"Hapto6"
"618",2013-06-11,24.87,"Hapto6"
"619",2013-07-11,17.66,"Hapto6"
"620",2013-08-13,19.82,"Hapto6"
"621",2013-09-11,14.84,"Hapto6"
"622",2013-10-08,28.57,"Hapto6"
"623",2013-11-13,15.79,"Hapto6"
"624",2013-12-04,10.07,"Hapto6"
"625",2014-01-14,8.89,"Hapto6"
"626",2014-02-04,9.83,"Hapto6"
"627",2014-03-10,11.64,"Hapto6"
"628",2014-04-01,23.52,"Hapto6"
"629",2014-05-06,17.41,"Hapto6"
"630",2014-06-13,17.35,"Hapto6"
"631",2014-09-03,13.85,"Hapto6"
"632",2014-10-07,11.2,"Hapto6"
"633",2014-11-12,15.64,"Hapto6"
"634",2014-12-09,19.49,"Hapto6"
"635",2015-02-15,21.82,"Hapto6"
"636",2015-04-14,16.13,"Hapto6"
"637",2015-07-29,12.98,"Hapto6"
"638",2015-08-17,13.15,"Hapto6"
"639",2015-09-10,17.65,"Hapto6"
"640",2015-11-16,14.88,"Hapto6"
"641",2015-12-09,9.08,"Hapto6"
"642",2016-01-12,14.02,"Hapto6"
