studyName,"Datetime GMT","Latitude (º)","Longitude (º)",Cycle,Event,Cast,"Depth (m)",Bottle,"Assoc Bottle 1","Assoc Bottle 2","Assoc Bottle 3","Total Chl (µg/L)","Chl - 1µm (µg/L)","Chl - 3µm (µg/L)","Chl - 8µm (µg/L)","Chl - 20µm (µg/L)","Chl < 1.0µm (%)","Chl 1.0µm - 3.0µm (%)","Chl 3.0µm - 8.0µm (%)","Chl 8.0µm - 20.0µm (%)","Chl > 20.0µm (%)"
P0810MV,"2008-10-15 18:34:42",33.965932,-121.785488,"Cycle 3",385,36,9.456,17,18,,,0.72,0.46,0.29,0.20,0.14,35.8,24.0,12.9,7.6,19.8
P0810MV,"2008-10-16 08:30:46",34.017675,-121.764797,"Cycle 3",404,38,7.35,20,21,,,0.71,0.43,0.26,0.16,0.12,39.2,24.4,14.6,4.9,17.0
P0810MV,"2008-10-16 19:11:36",34.03855,-121.739058,"Cycle 3",420,39,9.508,17,8,,,0.76,0.49,0.27,0.15,0.10,36.4,28.0,15.9,6.5,13.2
P0810MV,"2008-10-17 09:29:24",34.114682,-121.676203,"Cycle 3",443,41,8.077,19,20,,,0.68,0.37,0.21,0.12,0.07,45.0,24.2,13.8,6.5,10.7
P0810MV,"2008-10-17 19:05:00",34.136545,-121.654155,"Cycle 3",459,42,30.301,9,10,,,0.87,0.52,0.30,0.17,0.10,40.7,25.3,14.0,8.1,12.1
P0810MV,"2008-10-17 19:05:00",34.136545,-121.654155,"Cycle 3",459,42,10.587,17,18,,,0.69,0.39,0.19,0.09,0.04,43.4,29.3,14.9,6.2,6.3
P0810MV,"2008-10-18 08:16:15",34.2024,-121.5806,"Cycle 3",478,44,8.314,22,21,,,0.57,0.31,0.15,0.08,0.05,46.0,27.1,12.5,5.6,8.8
P0810MV,"2008-10-19 10:57:33",33.611165,-121.154657,"Cycle 4",488,45,30.321,8,9,,,3.05,2.68,2.63,2.36,2.34,12.3,1.5,9.0,0.4,76.8
P0810MV,"2008-10-19 10:57:33",33.611165,-121.154657,"Cycle 4",488,45,12.232,17,18,,,0.78,0.46,0.39,0.33,0.32,40.6,8.8,8.2,0.9,41.5
P0810MV,"2008-10-19 19:20:42",33.623477,-121.171722,"Cycle 4",502,47,13,10,11,,,2.97,2.49,2.37,2.25,2.29,16.4,3.8,4.0,-1.2,77.1
