"","AphiaID","aphiaid","speciesorig","speciesclean","scientificname","wm_attrs","wm_classes"
"83",109947,109947,"Ceratium extensum","Ceratium extensum","Ceratium extensum","NA","Chromista_Harosa_Alveolata_Myzozoa_Dinozoa_Dinoflagellata_Dinophyceae_Gonyaulacales_Ceratiaceae_Ceratium_Ceratium extensum"
"84",109948,109948,"Ceratium falcatiforme","Ceratium falcatiforme","Tripos falcatiformis","NA","Chromista_Harosa_Alveolata_Myzozoa_Dinozoa_Dinoflagellata_Dinophyceae_Gonyaulacales_Ceratiaceae_Ceratium_Ceratium falcatiforme"
"85",109949,109949,"Ceratium falcatum","Ceratium falcatum","Ceratium falcatum","NA","Chromista_Harosa_Alveolata_Myzozoa_Dinozoa_Dinoflagellata_Dinophyceae_Gonyaulacales_Ceratiaceae_Ceratium_Ceratium falcatum"
"86",109950,109950,"Ceratium furca","Ceratium furca","Tripos furca","NA","Chromista_Harosa_Alveolata_Myzozoa_Dinozoa_Dinoflagellata_Dinophyceae_Gonyaulacales_Ceratiaceae_Ceratium_Ceratium furca"
"87",109951,109951,"Ceratium fusus","Ceratium fusus","Tripos fusus","Body size (qualitative):<0.2 mm, Functional group:plankton > microplankton","Chromista_Harosa_Alveolata_Myzozoa_Dinozoa_Dinoflagellata_Dinophyceae_Gonyaulacales_Ceratiaceae_Ceratium_Ceratium fusus"
"88",109953,109953,"Ceratium gibberum","Ceratium gibberum","Tripos gibberus","NA","Chromista_Harosa_Alveolata_Myzozoa_Dinozoa_Dinoflagellata_Dinophyceae_Gonyaulacales_Ceratiaceae_Ceratium_Ceratium gibberum"
"89",109956,109956,"Ceratium horridum","Ceratium horridum","Tripos horridus","Body size (qualitative):<0.2 mm, Functional group:plankton > microplankton","Chromista_Harosa_Alveolata_Myzozoa_Dinozoa_Dinoflagellata_Dinophyceae_Gonyaulacales_Ceratiaceae_Ceratium_Ceratium horridum"
"90",109958,109958,"Ceratium inflatum","Ceratium inflatum","Ceratium inflatum","NA","Chromista_Harosa_Alveolata_Myzozoa_Dinozoa_Dinoflagellata_Dinophyceae_Gonyaulacales_Ceratiaceae_Ceratium_Ceratium inflatum"
"91",109960,109960,"Ceratium karsteini","Ceratium karstenii","Tripos karstenii","NA","Chromista_Harosa_Alveolata_Myzozoa_Dinozoa_Dinoflagellata_Dinophyceae_Gonyaulacales_Ceratiaceae_Ceratium_Ceratium karstenii"
"92",109961,109961,"Ceratium kofoidii","Ceratium kofoidii","Tripos kofoidii","NA","Chromista_Harosa_Alveolata_Myzozoa_Dinozoa_Dinoflagellata_Dinophyceae_Gonyaulacales_Ceratiaceae_Ceratium_Ceratium kofoidii"
"93",109964,109964,"Ceratium longipes","Ceratium longipes","Tripos longipes","NA","Chromista_Harosa_Alveolata_Myzozoa_Dinozoa_Dinoflagellata_Dinophyceae_Gonyaulacales_Ceratiaceae_Ceratium_Ceratium longipes"
"94",109966,109966,"Ceratium longissimum","Ceratium longissimum","Tripos longissimus","NA","Chromista_Harosa_Alveolata_Myzozoa_Dinozoa_Dinoflagellata_Dinophyceae_Gonyaulacales_Ceratiaceae_Ceratium_Ceratium longissimum"
"95",109968,109968,"Ceratium massiliense","Ceratium massiliense","Tripos massiliensis","Body size (qualitative):<0.2 mm, Functional group:plankton > microplankton","Chromista_Harosa_Alveolata_Myzozoa_Dinozoa_Dinoflagellata_Dinophyceae_Gonyaulacales_Ceratiaceae_Ceratium_Ceratium massiliense"
"96",109971,109971,"Caeratium pavillardi","Caeratium pavillardi","Neoceratium pavillardii","NA","Chromista_Harosa_Alveolata_Myzozoa_Dinozoa_Dinoflagellata_Dinophyceae_Gonyaulacales_Ceratiaceae_Ceratium_Ceratium pavillardii"
"97",109972,109972,"Ceratium pentagonum","Ceratium pentagonum","Tripos pentagonus","NA","Chromista_Harosa_Alveolata_Myzozoa_Dinozoa_Dinoflagellata_Dinophyceae_Gonyaulacales_Ceratiaceae_Ceratium_Ceratium pentagonum"
"98",109979,109979,"Ceratium symmetricum","Ceratium symmetricum","Tripos symmetricus","NA","Chromista_Harosa_Alveolata_Myzozoa_Dinozoa_Dinoflagellata_Dinophyceae_Gonyaulacales_Ceratiaceae_Ceratium_Ceratium symmetricum"
